ENTIDAD,DESCRIPCION,ID_RAMAL,NRO_ORDEN,ESTACION
168,SOFSE - Roca,1515,1,PLAZA CONSTITUCION
168,SOFSE - Roca,1515,2,H. YRIGOYEN
168,SOFSE - Roca,1515,3,DARIO SANTILLAN Y MAXIMILIANO KOSTEKI
168,SOFSE - Roca,1515,4,GERLI
168,SOFSE - Roca,1515,5,LANUS
168,SOFSE - Roca,1515,6,R. ESCALADA
168,SOFSE - Roca,1515,7,BANFIELD
168,SOFSE - Roca,1515,8,LOMAS DE ZAMORA
168,SOFSE - Roca,1515,9,TEMPERLEY
168,SOFSE - Roca,1515,10,ADROGUE
168,SOFSE - Roca,1515,11,BURZACO
168,SOFSE - Roca,1515,12,LONGCHAMPS
168,SOFSE - Roca,1515,13,GLEW
168,SOFSE - Roca,1515,14,GUERNICA
168,SOFSE - Roca,1515,15,A. KORN
168,SOFSE - Roca,1515,16,TURDERA
168,SOFSE - Roca,1515,17,LLAVALLOL
168,SOFSE - Roca,1515,18,L. GUILLON
168,SOFSE - Roca,1515,19,MONTE GRANDE
168,SOFSE - Roca,1515,20,EL JAGÜEL
168,SOFSE - Roca,1515,21,EZEIZA
168,SOFSE - Roca,1515,22,UNIÓN FERROVIARIA
168,SOFSE - Roca,1515,23,TRISTAN SUAREZ
168,SOFSE - Roca,1515,24,SPEGAZZINI
168,SOFSE - Roca,1515,25,MAXIMO PAZ
168,SOFSE - Roca,1515,26,V. CASARES
168,SOFSE - Roca,1515,27,A. PETION
168,SOFSE - Roca,1515,28,KLOOSTERMAN
168,SOFSE - Roca,1515,29,LEVENE
168,SOFSE - Roca,1515,30,CAÑUELAS
168,SOFSE - Roca,1515,31,J. MARMOL
168,SOFSE - Roca,1515,32,R. CALZADA
168,SOFSE - Roca,1515,33,CLAYPOLE
168,SOFSE - Roca,1515,34,ARDIGO
168,SOFSE - Roca,1515,35,F. VARELA
168,SOFSE - Roca,1515,36,E. ZEBALLOS
168,SOFSE - Roca,1515,37,BOSQUES
168,SOFSE - Roca,1515,38,SANTA SOFIA
168,SOFSE - Roca,1515,39,GUTIERREZ
168,SOFSE - Roca,1515,40,VUCETICH
168,SOFSE - Roca,1515,41,HOSPITAL ESPAÑOL
168,SOFSE - Roca,1515,42,STA. CATALINA
168,SOFSE - Roca,1515,43,JUAN XXlll
168,SOFSE - Roca,1515,44,KM. 34
168,SOFSE - Roca,1515,45,"KM. 32,800"
168,SOFSE - Roca,1515,46,A. DE ELIA
168,SOFSE - Roca,1515,47,LA TABLADA
168,SOFSE - Roca,1515,48,SAN JUSTO
168,SOFSE - Roca,1515,49,ING. BRIAN
168,SOFSE - Roca,1515,50,HAEDO
168,SOFSE - Roca,1515,51,SARANDI
168,SOFSE - Roca,1515,52,V. DOMINICO
168,SOFSE - Roca,1515,53,WILDE
168,SOFSE - Roca,1515,54,DON BOSCO
168,SOFSE - Roca,1515,55,BERNAL
168,SOFSE - Roca,1515,56,QUILMES
168,SOFSE - Roca,1515,57,EZPELETA
168,SOFSE - Roca,1515,58,BERAZATEGUI
168,SOFSE - Roca,1515,59,VILLA ESPAÑA
168,SOFSE - Roca,1515,60,RANELAGH
168,SOFSE - Roca,1515,61,SOURIGUES
168,SOFSE - Roca,1515,62,PLATANOS
168,SOFSE - Roca,1515,63,HUDSON
168,SOFSE - Roca,1515,64,PEREYRA
168,SOFSE - Roca,1515,65,VILLA ELISA
168,SOFSE - Roca,1515,66,CITY BELL
168,SOFSE - Roca,1515,67,GONNET
168,SOFSE - Roca,1515,68,RINGUELET
168,SOFSE - Roca,1515,69,TOLOSA
168,SOFSE - Roca,1515,70,LA PLATA
178,SOFSE - Mitre,1395,1,RETIRO
178,SOFSE - Mitre,1395,2,3 DE FEBRERO
178,SOFSE - Mitre,1395,3,M CARRANZA
178,SOFSE - Mitre,1395,4,COLEGIALES
178,SOFSE - Mitre,1395,5,BELGRANO R
178,SOFSE - Mitre,1395,6,COGHLAN
178,SOFSE - Mitre,1395,7,SAAVEDRA
178,SOFSE - Mitre,1395,8,JUAN B JUSTO
178,SOFSE - Mitre,1395,9,FLORIDA
178,SOFSE - Mitre,1395,10,CETRANGOLO
178,SOFSE - Mitre,1395,11,BME MITRE
178,SOFSE - Mitre,1396,1,RETIRO
178,SOFSE - Mitre,1396,2,3 DE FEBRERO
178,SOFSE - Mitre,1396,3,M CARRANZA
178,SOFSE - Mitre,1396,4,COLEGIALES
178,SOFSE - Mitre,1396,5,BELGRANO R
178,SOFSE - Mitre,1396,6,COGHLAN
178,SOFSE - Mitre,1396,7,SAAVEDRA
178,SOFSE - Mitre,1396,8,JUAN B JUSTO
178,SOFSE - Mitre,1396,9,FLORIDA
178,SOFSE - Mitre,1396,10,CETRANGOLO
178,SOFSE - Mitre,1396,11,BME MITRE
178,SOFSE - Mitre,1396,12,DRAGO
178,SOFSE - Mitre,1396,13,URQUIZA
178,SOFSE - Mitre,1396,14,PUEYRREDON
178,SOFSE - Mitre,1396,15,MIGUELETE
178,SOFSE - Mitre,1396,16,SAN MARTIN
178,SOFSE - Mitre,1396,17,SAN ANDRES
178,SOFSE - Mitre,1396,18,MALAVER
178,SOFSE - Mitre,1396,19,BALLESTER
178,SOFSE - Mitre,1396,20,CHILAVERT
178,SOFSE - Mitre,1396,21,J. L. SUAREZ
178,SOFSE - Mitre,1397,1,RETIRO
178,SOFSE - Mitre,1397,2,L DE LA TORRE
178,SOFSE - Mitre,1397,3,BELGRANO C
178,SOFSE - Mitre,1397,4,NUNEZ
178,SOFSE - Mitre,1397,5,RIVADAVIA
178,SOFSE - Mitre,1397,6,VTE LOPEZ
178,SOFSE - Mitre,1397,7,OLIVOS
178,SOFSE - Mitre,1397,8,LA LUCILA
178,SOFSE - Mitre,1397,9,MARTINEZ
178,SOFSE - Mitre,1397,10,ACASSUSO
178,SOFSE - Mitre,1397,11,SAN ISIDRO
178,SOFSE - Mitre,1397,12,BECCAR
178,SOFSE - Mitre,1397,13,VICTORIA
178,SOFSE - Mitre,1397,14,VIRREYES
178,SOFSE - Mitre,1397,15,SAN FERNANDO
178,SOFSE - Mitre,1397,16,CARUPA
178,SOFSE - Mitre,1397,17,TIGRE
178,SOFSE - Mitre,1398,1,RETIRO
178,SOFSE - Mitre,1398,12,DRAGO
178,SOFSE - Mitre,1398,13,URQUIZA
178,SOFSE - Mitre,1398,14,PUEYRREDON
178,SOFSE - Mitre,1398,15,MIGUELETE
178,SOFSE - Mitre,1398,16,SAN MARTIN
178,SOFSE - Mitre,1398,17,SAN ANDRES
178,SOFSE - Mitre,1398,18,MALAVER
178,SOFSE - Mitre,1398,19,BALLESTER
178,SOFSE - Mitre,1398,20,CHILAVERT
178,SOFSE - Mitre,1398,21,J. L. SUAREZ
169,SOFSE - San Martin,1516,1,RETIRO
169,SOFSE - San Martin,1516,2,PALERMO
169,SOFSE - San Martin,1516,3,CHARARITA
169,SOFSE - San Martin,1516,4,LA PATERNAL
169,SOFSE - San Martin,1516,5,VILLA DEL PARQUE
169,SOFSE - San Martin,1516,6,DEVOTO
169,SOFSE - San Martin,1516,7,SAENZ PEÑA
169,SOFSE - San Martin,1516,8,SANTOS LUGARES
169,SOFSE - San Martin,1516,9,CASEROS
169,SOFSE - San Martin,1516,10,EL PALOMAR
169,SOFSE - San Martin,1516,11,HURLINGHAM
169,SOFSE - San Martin,1516,12,WILLIAM C. MORRIS
169,SOFSE - San Martin,1516,13,BELLA VISTA
169,SOFSE - San Martin,1516,14,MUÑIZ
169,SOFSE - San Martin,1516,15,SAN MIGUEL
169,SOFSE - San Martin,1516,16,JOSE C. PAZ
169,SOFSE - San Martin,1516,17,SOL Y VERDE
169,SOFSE - San Martin,1516,18,PTE. DERQUI
169,SOFSE - San Martin,1516,19,VILLA ASTOLFI
169,SOFSE - San Martin,1516,20,PILAR
169,SOFSE - San Martin,1516,21,MANZANARES
169,SOFSE - San Martin,1516,22,DR. CABRED
94,SOFSE- SARMIENTO,1394,1,ONCE 
94,SOFSE- SARMIENTO,1394,3,CABALLITO
94,SOFSE- SARMIENTO,1394,4,FLORES
94,SOFSE- SARMIENTO,1394,5,FLORESTA
94,SOFSE- SARMIENTO,1394,6,VILLA LURO
94,SOFSE- SARMIENTO,1394,7,LINIERS
94,SOFSE- SARMIENTO,1394,8,CIUDADELA
94,SOFSE- SARMIENTO,1394,9,RAMOS MEJIA
94,SOFSE- SARMIENTO,1394,10,HAEDO
94,SOFSE- SARMIENTO,1394,11,MORON
94,SOFSE- SARMIENTO,1394,12,CASTELAR
94,SOFSE- SARMIENTO,1394,13,ITUZAINGO
94,SOFSE- SARMIENTO,1394,14,PADUA
94,SOFSE- SARMIENTO,1394,15,MERLO
94,SOFSE- SARMIENTO,1394,16,PASO DEL REY
94,SOFSE- SARMIENTO,1394,17,MORENO
9994,FERROVIAS S.A. (BELG_NOR),1527,1,Retiro
9994,FERROVIAS S.A. (BELG_NOR),1527,2,Saldías
9994,FERROVIAS S.A. (BELG_NOR),1527,3,C. Universitaria
9994,FERROVIAS S.A. (BELG_NOR),1527,4,A. del Valle
9994,FERROVIAS S.A. (BELG_NOR),1527,5,M. Padilla
9994,FERROVIAS S.A. (BELG_NOR),1527,6,Florida
9994,FERROVIAS S.A. (BELG_NOR),1527,7,Munro
9994,FERROVIAS S.A. (BELG_NOR),1527,8,Carapachay
9994,FERROVIAS S.A. (BELG_NOR),1527,9,V. Adelina
9994,FERROVIAS S.A. (BELG_NOR),1527,10,Boulogne
9994,FERROVIAS S.A. (BELG_NOR),1527,11,V.A.Montes
9994,FERROVIAS S.A. (BELG_NOR),1527,12,Don Torcuato
9994,FERROVIAS S.A. (BELG_NOR),1527,13,Sordeaux
9994,FERROVIAS S.A. (BELG_NOR),1527,14,Villa de Mayo
9994,FERROVIAS S.A. (BELG_NOR),1527,15,Los Polvorines
9994,FERROVIAS S.A. (BELG_NOR),1527,16,P. Nogues
9994,FERROVIAS S.A. (BELG_NOR),1527,17,Grand Bourg
9994,FERROVIAS S.A. (BELG_NOR),1527,18,Tierras Altas
9994,FERROVIAS S.A. (BELG_NOR),1527,19,Tortuguitas
9994,FERROVIAS S.A. (BELG_NOR),1527,20,Alberti
9994,FERROVIAS S.A. (BELG_NOR),1527,21,Del Viso
9994,FERROVIAS S.A. (BELG_NOR),1527,22,Villa Rosa
204,MTV SA Urquiza,1513,1,Lacroze
204,MTV SA Urquiza,1513,2,Artigas
204,MTV SA Urquiza,1513,3,Arata
204,MTV SA Urquiza,1513,4,Beiró
204,MTV SA Urquiza,1513,5,Libertador
204,MTV SA Urquiza,1513,6,Devoto
204,MTV SA Urquiza,1513,7,Lynch
204,MTV SA Urquiza,1513,8,Moreno
204,MTV SA Urquiza,1513,9,Lourdes
204,MTV SA Urquiza,1513,10,Tropezón
204,MTV SA Urquiza,1513,11,Bosch
204,MTV SA Urquiza,1513,12,Coronado
204,MTV SA Urquiza,1513,13,Podestá
204,MTV SA Urquiza,1513,14,Newbery
204,MTV SA Urquiza,1513,15,Darío
204,MTV SA Urquiza,1513,16,Ej. Andes
204,MTV SA Urquiza,1513,17,La Salle
204,MTV SA Urquiza,1513,18,Barrufaldi
204,MTV SA Urquiza,1513,19,Lozano
204,MTV SA Urquiza,1513,20,Agneta
204,MTV SA Urquiza,1513,21,C. de Mayo
204,MTV SA Urquiza,1513,22,S. Cabral
204,MTV SA Urquiza,1513,23,Gral. Lemos